States,Item,2014-15,2015-16,2016-17,2017-18
Andhra Pradesh,Cotton,28.41,18.88,15.64,20.38
Telangana,Cotton,38.0,36.61,34.44,47.54
Gujarat,Cotton,105.0,94.0,85.75,126.37
Haryana,Cotton,23.0,9.93,20.41,16.26
Karnataka,Cotton,23.11,20.0,10.1,12.24
Madhya Pradesh,Cotton,17.5,18.0,20.51,18.69
Maharashtra,Cotton,70.0,75.0,106.19,65.46
Odisha,Cotton,4.0,3.0,3.82,4.02
Punjab,Cotton,16.0,7.5,10.31,12.83
Rajasthan,Cotton,15.27,12.14,14.02,18.93
Tamil Nadu,Cotton,6.86,3.69,3.59,4.88
Others,Cotton,0.9,1.3,1.0,1.02
All-India,Cotton,348.05,300.05,325.77,348.62
Assam,Jute And Mesta,793.2,894.06,824.09,837.0
Bihar,Jute And Mesta,1637.1,1630.0,1571.0,1621.1
Madhya Pradesh,Jute And Mesta,8.6,6.0,7.0,11.0
Meghalaya,Jute And Mesta,92.5,94.5,,
Nagaland,Jute And Mesta,7.8,7.9,,
Odisha,Jute And Mesta,68.4,56.78,32.78,38.5
Tripura,Jute And Mesta,10.6,11.2,,
West Bengal,Jute And Mesta,8453.7,7776.78,8349.59,7959.0
All India,Jute And Mesta,11126.05,10523.58,10962.4,10623.7
Andhra Pradesh,Sugarcane,9.99,9.35,7.83,7.95
Bihar,Sugarcane,14.03,12.65,13.04,16.51
Gujarat,Sugarcane,14.33,11.12,11.95,12.23
Haryana,Sugarcane,7.17,6.69,8.22,8.73
Karnataka,Sugarcane,43.77,37.83,27.38,29.9
Madhya Pradesh,Sugarcane,4.57,5.28,4.73,5.43
Maharashtra,Sugarcane,84.7,73.68,52.26,72.64
Punjab,Sugarcane,7.04,6.61,7.15,7.53
Uttarakhand,Sugarcane,6.16,5.89,6.48,7.14
Tamil Nadu,Sugarcane,28.09,25.49,18.99,16.56
Uttar Pradesh,Sugarcane,133.06,145.38,140.17,162.34
Telangana,Sugarcane,3.34,2.41,2.06,2.22
All India,Sugarcane,362.33,348.45,306.07,355.1
